negative_tweets,neutral_tweets,positive_tweets,timestamp,price
36,1193,327,2018-04-09 02:00:00,7106.228098028977
223,7990,2142,2018-04-09 03:00:00,7124.17616758594
197,7954,2660,2018-04-09 04:00:00,7145.317080484691
160,7556,2405,2018-04-09 05:00:00,7117.532695506808
251,7819,2287,2018-04-09 06:00:00,6869.364328057215
246,9929,2648,2018-04-09 07:00:00,6749.899448171798
290,9125,2636,2018-04-09 08:00:00,6745.517835469685
225,9825,2694,2018-04-09 09:00:00,6744.198094336002
215,8050,1832,2018-04-09 10:00:00,6715.028551157286
304,11311,2797,2018-04-09 11:00:00,6738.4125235069905
356,12106,2822,2018-04-09 12:00:00,6732.009905659958
334,12462,3199,2018-04-09 13:00:00,6734.672762140523
362,12480,3213,2018-04-09 14:00:00,6745.072905447704
350,11973,3067,2018-04-09 15:00:00,6702.789825562737
187,7021,1895,2018-04-09 16:00:00,6650.534182021573
357,12050,2975,2018-04-09 17:00:00,6695.303249509464
301,10914,2990,2018-04-09 18:00:00,6700.207462033443
353,10373,2709,2018-04-09 19:00:00,6729.366462238628
347,9743,2672,2018-04-09 20:00:00,6769.379732038902
393,8997,2208,2018-04-09 21:00:00,6737.145417966491
432,8268,1924,2018-04-09 22:00:00,6746.579128180273
297,6410,1450,2018-04-09 23:00:00,6760.8110270754905
325,7588,1908,2018-04-10 00:00:00,6774.594465550798
283,7368,1907,2018-04-10 01:00:00,6749.220683350212
262,7706,1946,2018-04-10 02:00:00,6740.622928499586
353,7907,2123,2018-04-10 03:00:00,6724.243393034367
245,8630,1961,2018-04-10 04:00:00,6710.59816236265
286,8356,2085,2018-04-10 05:00:00,6743.912598842878
275,8559,2200,2018-04-10 06:00:00,6731.249910303624
345,10026,2463,2018-04-10 07:00:00,6728.633942957313
297,6249,1467,2018-04-10 08:00:00,6739.941466649633
314,9567,2499,2018-04-10 09:00:00,6754.835110580541
472,9599,2575,2018-04-10 10:00:00,6749.086171711964
423,10148,2468,2018-04-10 11:00:00,6824.292337662147
418,10890,2820,2018-04-10 12:00:00,6823.302619675713
494,11906,2837,2018-04-10 13:00:00,6848.304615526928
385,11410,2988,2018-04-10 14:00:00,6844.319877863144
196,5582,1334,2018-04-10 15:00:00,6838.892573139475
382,10989,2993,2018-04-10 16:00:00,6827.817541702504
391,10390,2683,2018-04-10 17:00:00,6840.853578493178
322,10048,2516,2018-04-10 18:00:00,6834.649569034814
294,9328,2558,2018-04-10 19:00:00,6807.992195163176
266,8367,2391,2018-04-10 20:00:00,6836.955210094113
220,7429,2196,2018-04-10 21:00:00,6833.569002167813
196,7452,1710,2018-04-10 22:00:00,6843.126671023026
108,3074,685,2018-04-10 23:00:00,6825.607292065678
247,7120,1526,2018-04-11 00:00:00,6820.393162266125
190,6974,1512,2018-04-11 01:00:00,6849.074828718488
234,7394,1646,2018-04-11 02:00:00,6825.006559770926
250,7638,1714,2018-04-11 03:00:00,6844.150826674511
226,8051,1746,2018-04-11 04:00:00,6849.291246895144
198,8172,1909,2018-04-11 05:00:00,6854.985344013757
203,7940,1813,2018-04-11 06:00:00,6845.949646141352
280,9781,2172,2018-04-11 07:00:00,6846.760706987702
228,8897,2078,2018-04-11 08:00:00,6852.83642206581
