,negative_tweets,neutral_tweets,positive_tweets,timestamp
0,36,1193,327,2018-04-09 02:00:00
1,223,7990,2142,2018-04-09 03:00:00
2,197,7954,2660,2018-04-09 04:00:00
3,160,7556,2405,2018-04-09 05:00:00
4,251,7819,2287,2018-04-09 06:00:00
5,246,9929,2648,2018-04-09 07:00:00
6,290,9125,2636,2018-04-09 08:00:00
7,225,9825,2694,2018-04-09 09:00:00
8,215,8050,1832,2018-04-09 10:00:00
9,304,11311,2797,2018-04-09 11:00:00
10,356,12106,2822,2018-04-09 12:00:00
11,334,12462,3199,2018-04-09 13:00:00
12,362,12480,3213,2018-04-09 14:00:00
13,350,11973,3067,2018-04-09 15:00:00
14,187,7021,1895,2018-04-09 16:00:00
15,357,12050,2975,2018-04-09 17:00:00
16,301,10914,2990,2018-04-09 18:00:00
17,353,10373,2709,2018-04-09 19:00:00
18,347,9743,2672,2018-04-09 20:00:00
19,393,8997,2208,2018-04-09 21:00:00
20,432,8268,1924,2018-04-09 22:00:00
21,297,6410,1450,2018-04-09 23:00:00
22,325,7588,1908,2018-04-10 00:00:00
23,283,7368,1907,2018-04-10 01:00:00
24,262,7706,1946,2018-04-10 02:00:00
25,353,7907,2123,2018-04-10 03:00:00
26,245,8630,1961,2018-04-10 04:00:00
27,286,8356,2085,2018-04-10 05:00:00
28,275,8559,2200,2018-04-10 06:00:00
29,345,10026,2463,2018-04-10 07:00:00
30,297,6249,1467,2018-04-10 08:00:00
31,314,9567,2499,2018-04-10 09:00:00
32,472,9599,2575,2018-04-10 10:00:00
33,423,10148,2468,2018-04-10 11:00:00
34,418,10890,2820,2018-04-10 12:00:00
35,494,11906,2837,2018-04-10 13:00:00
36,385,11410,2988,2018-04-10 14:00:00
37,196,5582,1334,2018-04-10 15:00:00
38,382,10989,2993,2018-04-10 16:00:00
39,391,10390,2683,2018-04-10 17:00:00
40,322,10048,2516,2018-04-10 18:00:00
41,294,9328,2558,2018-04-10 19:00:00
42,266,8367,2391,2018-04-10 20:00:00
43,220,7429,2196,2018-04-10 21:00:00
44,196,7452,1710,2018-04-10 22:00:00
45,108,3074,685,2018-04-10 23:00:00
46,247,7120,1526,2018-04-11 00:00:00
47,190,6974,1512,2018-04-11 01:00:00
48,234,7394,1646,2018-04-11 02:00:00
49,250,7638,1714,2018-04-11 03:00:00
50,226,8051,1746,2018-04-11 04:00:00
51,198,8172,1909,2018-04-11 05:00:00
52,203,7940,1813,2018-04-11 06:00:00
53,280,9781,2172,2018-04-11 07:00:00
54,228,8897,2078,2018-04-11 08:00:00
55,14,670,136,2018-04-11 09:00:00
56,339,9323,2130,2018-04-11 10:00:00
57,443,9562,2141,2018-04-11 11:00:00
58,282,11013,2351,2018-04-11 12:00:00
59,321,17274,2541,2018-04-11 13:00:00
60,354,12933,2526,2018-04-11 14:00:00
61,302,9921,2119,2018-04-11 15:00:00
62,259,11223,2320,2018-04-11 16:00:00
63,246,10742,2711,2018-04-11 17:00:00
64,349,10462,2395,2018-04-11 18:00:00
65,315,9562,2177,2018-04-11 19:00:00
66,220,8563,2081,2018-04-11 20:00:00
67,239,8169,1667,2018-04-11 21:00:00
68,185,7473,1629,2018-04-11 22:00:00
69,200,6817,1427,2018-04-11 23:00:00
70,3,101,10,2018-04-12 00:00:00
71,313,6738,1551,2018-04-12 01:00:00
72,243,7277,1689,2018-04-12 02:00:00
73,196,8188,1768,2018-04-12 03:00:00
74,245,7937,1796,2018-04-12 04:00:00
75,222,7967,2034,2018-04-12 05:00:00
76,251,7744,1938,2018-04-12 06:00:00
77,381,10197,2010,2018-04-12 07:00:00
78,320,8988,2107,2018-04-12 08:00:00
79,91,4024,871,2018-04-12 09:00:00
80,368,9921,2270,2018-04-12 10:00:00
81,770,17831,2873,2018-04-12 11:00:00
82,671,16861,3230,2018-04-12 12:00:00
83,529,15358,3020,2018-04-12 13:00:00
84,405,12606,2541,2018-04-12 14:00:00
85,527,12711,3208,2018-04-12 15:00:00
86,390,11904,3119,2018-04-12 16:00:00
87,404,12027,3012,2018-04-12 17:00:00
88,411,10990,3187,2018-04-12 18:00:00
89,389,11019,2869,2018-04-12 19:00:00
90,405,10306,2863,2018-04-12 20:00:00
91,55,1406,328,2018-04-12 21:00:00
92,268,9306,1987,2018-04-12 22:00:00
93,288,9116,1703,2018-04-12 23:00:00
94,337,8831,1754,2018-04-13 00:00:00
95,275,8176,1741,2018-04-13 01:00:00
96,260,8368,1944,2018-04-13 02:00:00
97,316,8409,1814,2018-04-13 03:00:00
98,249,7681,1892,2018-04-13 04:00:00
99,243,7492,2082,2018-04-13 05:00:00
100,809,8660,2224,2018-04-13 06:00:00
101,290,10673,2495,2018-04-13 07:00:00
102,269,10311,2524,2018-04-13 08:00:00
103,402,9860,2459,2018-04-13 09:00:00
104,331,10027,2449,2018-04-13 10:00:00
105,337,10751,2566,2018-04-13 11:00:00
106,431,11829,2753,2018-04-13 12:00:00
107,81,1936,397,2018-04-13 13:00:00
108,677,11273,3206,2018-04-13 14:00:00
109,571,10743,3308,2018-04-13 15:00:00
110,595,11224,3131,2018-04-13 16:00:00
111,687,10792,2780,2018-04-13 17:00:00
112,592,10415,2487,2018-04-13 18:00:00
113,250,5617,1391,2018-04-13 19:00:00
114,507,9515,2303,2018-04-13 20:00:00
115,346,8159,2109,2018-04-13 21:00:00
116,332,7455,1723,2018-04-13 22:00:00
117,286,7141,1671,2018-04-13 23:00:00
118,250,6730,1647,2018-04-14 00:00:00
119,295,6710,1713,2018-04-14 01:00:00
120,402,6276,1751,2018-04-14 02:00:00
121,363,6794,1683,2018-04-14 03:00:00
122,329,6297,1606,2018-04-14 04:00:00
123,292,5840,1460,2018-04-14 05:00:00
124,320,6782,1844,2018-04-14 06:00:00
125,415,9140,2180,2018-04-14 07:00:00
126,310,8187,1918,2018-04-14 08:00:00
127,337,8072,2062,2018-04-14 09:00:00
128,382,7848,2233,2018-04-14 10:00:00
129,341,7950,2144,2018-04-14 11:00:00
130,402,8724,2221,2018-04-14 12:00:00
131,338,8917,2236,2018-04-14 13:00:00
132,312,7819,1963,2018-04-14 14:00:00
133,408,9060,2338,2018-04-14 15:00:00
134,432,9516,2220,2018-04-14 16:00:00
135,380,9180,2416,2018-04-14 17:00:00
136,302,7907,2224,2018-04-14 18:00:00
137,375,8149,2320,2018-04-14 19:00:00
138,321,7977,2131,2018-04-14 20:00:00
139,209,6846,1649,2018-04-14 21:00:00
140,215,6234,1561,2018-04-14 22:00:00
141,238,6424,1399,2018-04-14 23:00:00
142,69,1748,388,2018-04-15 00:00:00
143,273,6000,1424,2018-04-15 01:00:00
144,246,6323,1455,2018-04-15 02:00:00
145,305,6400,1662,2018-04-15 03:00:00
146,228,6470,1736,2018-04-15 04:00:00
147,192,6651,1729,2018-04-15 05:00:00
148,149,6883,1819,2018-04-15 06:00:00
149,218,8532,2241,2018-04-15 07:00:00
150,250,7868,1913,2018-04-15 08:00:00
151,195,7308,1835,2018-04-15 09:00:00
152,210,7847,2063,2018-04-15 10:00:00
153,28,1530,285,2018-04-15 11:00:00
154,284,9284,2417,2018-04-15 12:00:00
155,282,10280,2487,2018-04-15 13:00:00
156,337,10715,2616,2018-04-15 14:00:00
157,258,10029,2714,2018-04-15 15:00:00
158,315,9910,2735,2018-04-15 16:00:00
159,348,9636,2499,2018-04-15 17:00:00
160,189,4832,1291,2018-04-15 18:00:00
161,299,8162,2257,2018-04-15 19:00:00
162,269,8044,2034,2018-04-15 20:00:00
163,196,7236,1802,2018-04-15 21:00:00
164,252,6392,1429,2018-04-15 22:00:00
165,234,6431,1367,2018-04-15 23:00:00
166,224,6560,1320,2018-04-16 00:00:00
167,199,6508,1354,2018-04-16 01:00:00
